"respid","freq","female","age","inc","color","veh","worker","time","company","access","av_drive","av_pool","av_pickup","av_taxi","av_transit","av_bike","av_walk","age_18_24","age_25_34","age_35_44","age_45_54","age_55_64","age_65","inc_under30k","inc_30k_75k","inc_75k_100k","inc_over100k","time_mor_eve","time_once","time_weekend","freq_month","freq_week","freq_24days","freq_57days"
10808811213,1,0,5,3,1,2,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
10807827979,3,0,4,3,0,1,1,0,0,6,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
10805813954,4,1,2,3,1,1,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
10805331323,1,0,4,2,0,2,2,0,0,4,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
10805188984,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
10802659445,1,1,4,3,0,1,0,0,1,6,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
10802252504,3,0,4,2,0,4,3,0,0,5,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
10801434266,1,1,3,2,0,2,2,4,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
10801187218,1,1,4,3,0,2,2,0,0,6,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
10800836597,1,0,3,3,0,2,2,0,0,6,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0
10800315443,1,0,2,3,0,2,2,4,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0
10800187398,2,1,2,3,1,2,2,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
10799486438,3,1,2,3,1,3,1,0,0,2,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
10799433296,3,1,1,1,0,2,2,0,0,5,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
10799418002,3,0,2,3,1,2,1,0,0,5,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
10799385970,1,1,3,1,0,1,1,0,1,5,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
10799354755,3,1,4,3,1,3,2,0,0,6,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
10799271006,1,1,0,1,0,4,3,4,0,5,1,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
10799145415,1,1,3,2,1,3,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
10799132085,2,1,2,2,0,2,2,2,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
10799106583,1,0,0,0,1,0,1,2,0,4,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
10799099328,2,1,2,3,1,2,2,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
10799098650,3,0,1,2,1,3,4,0,0,6,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
10798939908,3,0,2,3,0,1,2,0,0,5,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
10798904299,3,0,5,2,0,2,0,0,1,5,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
10798883538,3,1,4,3,0,2,2,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
10798528234,3,0,1,2,1,3,4,1,0,5,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
10798458333,1,0,5,3,0,1,0,0,0,2,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
10798452741,2,1,2,2,0,1,1,4,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0
10798413530,1,0,5,1,0,2,0,0,1,4,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
10798362976,2,1,1,3,0,2,2,2,0,6,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
10798346600,3,1,2,2,1,1,2,0,0,6,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
10798340769,1,1,1,1,1,1,1,0,1,3,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
10798310994,1,1,3,2,1,1,1,0,1,2,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
